Item_ID,Frecuencia_uso,Volumen,Peso,Categoria
Item_001,52,0.63,5.42,C
Item_002,93,1.13,41.93,C
Item_003,15,0.37,16.72,B
Item_004,72,1.62,10.14,C
Item_005,61,0.24,3.0,B
Item_006,21,1.98,29.95,B
Item_007,83,1.57,34.2,C
Item_008,87,0.48,1.81,C
Item_009,75,0.11,26.09,C
Item_010,75,1.65,12.1,C
Item_011,88,1.44,32.61,B
Item_012,24,1.49,9.54,B
Item_013,3,1.57,34.86,C
Item_014,22,0.24,19.95,B
Item_015,53,0.78,46.9,C
Item_016,2,0.32,7.74,C
Item_017,88,1.74,17.71,C
Item_018,30,1.28,6.56,B
Item_019,38,0.73,46.31,B
Item_020,2,0.22,43.99,A
Item_021,64,0.69,13.64,B
Item_022,60,0.72,33.34,A
Item_023,21,1.49,41.04,B
Item_024,33,1.31,28.2,B
Item_025,76,1.79,26.95,B
Item_026,58,1.0,12.85,B
Item_027,22,0.33,5.56,A
Item_028,89,1.46,44.96,A
Item_029,49,1.55,45.12,C
Item_030,91,1.17,32.02,B
Item_031,59,1.56,17.61,A
Item_032,42,1.04,18.11,B
Item_033,92,1.09,36.57,C
Item_034,60,0.91,44.96,B
Item_035,80,0.15,44.47,B
Item_036,15,0.3,39.21,A
Item_037,62,0.16,32.46,A
Item_038,62,1.31,5.12,B
Item_039,47,0.7,8.92,B
Item_040,62,1.07,45.03,B
Item_041,51,1.82,30.72,C
Item_042,55,0.57,1.45,C
Item_043,64,0.88,5.97,B
Item_044,3,1.54,33.51,B
Item_045,51,0.53,1.25,C
Item_046,7,0.25,8.88,B
Item_047,21,0.65,27.89,B
Item_048,73,0.41,34.9,A
Item_049,39,1.87,32.95,A
Item_050,18,1.64,11.99,C
Item_051,4,1.3,35.9,C
Item_052,89,1.76,12.63,B
Item_053,60,1.63,16.94,B
Item_054,14,0.45,37.58,A
Item_055,9,1.8,32.83,A
Item_056,90,1.12,42.61,B
Item_057,53,1.63,33.22,B
Item_058,2,1.8,28.85,C
Item_059,84,0.7,5.59,B
Item_060,92,0.31,19.02,B
Item_061,60,0.53,13.99,C
Item_062,71,0.91,12.96,C
Item_063,44,1.65,48.68,B
Item_064,8,1.74,20.26,B
Item_065,47,0.11,44.71,B
Item_066,35,1.07,31.93,B
Item_067,78,0.89,39.95,B
Item_068,81,0.52,25.63,C
Item_069,36,0.33,29.27,A
Item_070,50,0.74,25.13,A
Item_071,4,1.89,10.57,A
Item_072,2,0.71,36.4,A
Item_073,6,1.09,14.76,C
Item_074,54,1.44,2.19,C
Item_075,4,0.79,32.63,B
Item_076,54,1.95,9.68,A
Item_077,93,1.93,47.08,B
Item_078,63,0.58,47.74,B
Item_079,18,1.04,45.83,A
Item_080,90,0.67,19.14,B
Item_081,44,0.64,1.76,B
Item_082,34,0.17,46.49,B
Item_083,74,1.26,21.98,B
Item_084,62,1.06,48.37,A
Item_085,14,0.2,48.22,B
Item_086,95,0.63,42.8,B
Item_087,48,1.83,15.43,B
Item_088,15,0.56,19.87,C
Item_089,72,0.38,42.71,B
Item_090,78,1.03,16.53,A
Item_091,87,1.97,9.31,A
Item_092,62,0.56,28.28,B
Item_093,40,1.38,46.87,A
Item_094,85,1.55,35.11,B
Item_095,80,0.55,28.93,C
Item_096,82,1.48,5.76,B
Item_097,53,0.8,31.14,B
Item_098,24,1.3,49.51,B
Item_099,26,1.3,7.86,B
Item_100,89,1.12,26.4,B
